و, 6338,
في, 3985,
من, 2621,
يا, 2213,
الله, 1696,
على, 1690,
ما, 1471,
ربي, 1265,
لا, 1251,
تونس, 825,
كان, 775,
كل, 700,
هه, 682,TN
هذا, 625,
والله, 594,
الي, 587,TN
برافو, 566,TN
انت, 490,
انا, 449,
عليك, 444,
ماسط, 442,TN
هو, 432,
مع, 422,
ان, 412,
فيه, 403,
معلم, 386,
ملا, 385,TN
باش, 382,TN
برشا, 359,TN
التونسي, 347,NE
علي, 344,
ولا, 342,
حتى, 331,
الناس, 325,
راك, 323,TN
موش, 307,TN
سامي, 288,NE
لطفي, 277,NE
علاء, 277,NE
كي, 274,"MSA,TN"
واحد, 271,
كيف, 266,"MSA,TN"
راجل, 264,TN
اما, 262,
عليه, 253,
معاك, 251,TN
اللي, 248,TN
مااسط, 243,TN
تافه, 242,
فيها, 242,
هي, 240,
خير, 238,
الكل, 237,
قناة, 231,
الى, 227,"MSA,TN"
ياسر, 224,TN
برنامج, 222,
الشعب, 220,
سي, 217,TN
شاء, 214,
الجزائر, 211,NE
مش, 209,TN
بن, 201,
هذه, 197,
البرنامج, 194,
ديما, 194,TN
عليكم, 193,
عن, 188,
بصراحة, 188,
فيك, 177,
عليها, 176,
مسلسل, 175,
ناس, 169,
كلام, 165,
لي, 164,
تحية, 164,
البلاد, 162,
اكثر, 160,
التونسية, 159,
لاسط, 159,TN
حاجة, 157,
شي, 157,
احسن, 156,
غير, 155,
متاع, 154,"MSA,TN"
جعفور, 154,NE
بالله, 154,
العار, 153,
الا, 153,
رجل, 151,
بربي, 150,"MSA,TN"
أن, 150,
انسان, 149,
لكن, 147,
عيب, 146,
بعد, 145,
واصل, 145,
وليد, 144,NE
منك, 144,
قلة, 143,
او, 142,
كلب, 141,
عندي, 140,
إلي, 140,"MSA,TN"
الحوار, 136,
تحكي, 135,
عام, 133,
لم, 133,
سيدي, 131,
علاش, 130,TN
روعة, 130,
الفهري, 129,NE
شكون, 129,TN
لك, 126,
يكون, 126,
كيما, 125,TN
حلقة, 125,
ولد, 125,
تعجبني, 125,
بين, 122,
سمير, 120,NE
شمس, 120,
فنان, 118,
طحان, 118,TN
كبير, 118,
روحك, 118,
تفوه, 115,
شيء, 115,
الصحة, 113,
فى, 112,
إلى, 112,"MSA,TN"
يعطيك, 111,
برشة, 110,TN
الفساد, 110,
يوسف, 110,NE
ي, 109,NOISE
شكرا, 109,
التي, 108,
عندو, 108,TN
جدا, 108,
تو, 107,TN
ا, 106,NOISE
خاطر, 105,TN
أحسن, 105,
قبل, 104,
تقول, 104,
ممثلة, 104,
تفووه, 103,TN
وانت, 103,
تونسي, 103,NE
شعب, 102,
احلى, 102,
تي, 101,TN
نوفل, 101,NE
منافق, 100,
قداش, 100,TN
اش, 100,TN
العيب, 99,
مرة, 99,
محلاها, 99,TN
برافوو, 99,TN
له, 98,
ها, 98,TN
هذي, 97,TN
م, 97,NOISE
علينا, 97,
وربي, 97,
حرام, 97,
أنا, 97,
انشاء, 97,"MSA,TN"
يوفقك, 97,
يحكي, 96,
محلاك, 96,TN
اكبر, 95,
ممسطو, 95,TN
راهو, 95,TN
عار, 94,
حد, 94,"MSA,TN"
الدنيا, 94,
شكيب, 94,NE
سامية, 94,NE
منحط, 93,
وحدك, 93,
الحق, 92,
فيكم, 92,
هكا, 91,TN
المسلسل, 91,
امين, 90,NE
مقداد, 90,NE
توا, 90,TN
أما, 90,
خاصة, 90,
متربي, 89,"MSA,TN"
صوت, 89,
الحلقة, 88,
الخير, 88,
عسل, 88,
ومن, 87,
الذي, 87,
فاشل, 86,
لعنة, 86,
اعلام, 86,
كريم, 86,
ﻭ, 86,NOISE
التوانسة, 85,TN
نحن, 85,
نحب, 85,
كنت, 85,
فوزي, 85,NE
هل, 84,
عليهم, 84,
برا, 84,TN
احنا, 84,TN
وما, 83,
روحو, 83,TN
بش, 83,TN
قال, 82,
وين, 82,TN
أكثر, 82,
لو, 82,
لكل, 82,
يعجبني, 82,
ياخي, 81,TN
اليوم, 81,
هاذي, 81,TN
عبو, 81,NE
فيهم, 80,
تربية, 79,
كلمة, 79,
الكلام, 78,
مستوى, 77,
عبد, 77,
أنت, 77,
يوم, 77,
نهار, 76,
ف, 76,NOISE
وقت, 76,
ماسطة, 76,TN
تحياتي, 76,
الحكومة, 76,
ة, 75,NOISE
لله, 75,
النهضة, 75,
ل, 74,NOISE
كامل, 73,
توفيق, 73,"NE,MSA"
الغربي, 73,"NE,MSA"
وعلى, 73,
بيه, 73,"NE,TN"
عند, 73,
رئيس, 73,
حياء, 72,
المرأة, 72,
مثل, 72,
رمضان, 72,NE
لازم, 72,
تكون, 72,
يرحم, 72,
ماشاء, 72,
وكل, 72,
كانت, 71,
مسخ, 71,TN
الكلمة, 71,
بلاد, 71,
زيد, 71,"NE,TN"
عندك, 71,
كبيرة, 71,
صحيح, 71,
وجيهة, 71,"NE,MSA"
إنسان, 70,
ليس, 70,
بكل, 70,
تعرف, 70,
اي, 70,
تحب, 70,
بالتوفيق, 70,
رجال, 70,
فنانة, 70,
القناة, 69,
باهي, 69,TN
تبارك, 69,
ممثل, 68,
نور, 68,"NE,MSA"
ب, 68,NOISE
الوكيل, 68,
امسط, 68,TN
نفس, 68,
الراجل, 68,TN
قلبي, 68,
تافهة, 68,
تعمل, 68,
كلاب, 67,
نحبك, 67,"MSA,TN"
فما, 67,"MSA,TN"
شيخ, 66,
انتي, 66,TN
تونسية, 66,NE
عندها, 66,
ه, 65,NOISE
ع, 65,NOISE
رب, 65,
منو, 65,TN
فقط, 65,
رغم, 65,
يبارك, 65,
خويا, 65,TN
وهو, 65,
زايد, 65,"NE,TN"
التلفزة, 64,
الرجال, 64,
موضوع, 64,
كيفاش, 64,TN
قد, 64,
نحبها, 64,"MSA,TN"
حلو, 63,
منها, 63,
والا, 63,
ﻓﻲ, 63,
انتم, 62,
رانا, 62,TN
أو, 62,
نتفرج, 62,"MSA,TN"
بية, 62,NE
قوة, 62,
ليك, 62,TN
منشط, 61,
مرا, 61,TN
الكلب, 60,
يقول, 60,
به, 60,
ام, 60,
الشاهد, 60,"NE,MSA"
دائما, 59,
الشيب, 59,
بنات, 59,
المجتمع, 59,
روحها, 59,
بدون, 59,
خسارة, 59,
شوية, 59,TN
إلا, 59,
العالم, 59,
لها, 58,
منهم, 58,
العبدلي, 58,NE
بنت, 58,
يعرف, 58,
عجبتني, 58,TN
عملت, 57,
إنت, 57,TN
معاه, 57,TN
الشابي, 57,NE
لما, 57,
جعفر, 57,NE
معادش, 56,TN
كيفك, 56,TN
ونعم, 56,
عاهرة, 56,
يحب, 56,
حسن, 56,
ﻻ, 55,
الدين, 55,
سنة, 55,
انو, 55,TN
تحيا, 55,
كما, 55,
رائع, 55,
الدولة, 55,
متع, 54,TN
يعمل, 54,
بفف, 54,TN
نموت, 54,
بزاف, 54,ALG
يزي, 54,TN
صباح, 54,
جلول, 54,NE
قمة, 53,
العباد, 53,
لكم, 53,
يحفظك, 53,
بل, 53,
صحة, 53,
لتونس, 52,NE
الممثلين, 52,
وزيد, 52,TN
بيك, 52,TN
حق, 52,
الف, 52,
وفي, 52,
الفن, 52,
تفوو, 51,TN
وحدة, 51,
مبروك, 51,
راس, 50,
مريض, 50,
شئ, 50,
خامج, 50,TN
مهما, 50,
انك, 50,
بخير, 50,
جاهل, 50,
مدام, 50,TN
أكبر, 49,
ن, 49,NOISE
ال, 49,NOISE
هم, 49,
العربي, 49,"NE,MSA"
مل, 49,NOISE
دنيا, 49,
ناجح, 49,
أحلى, 49,
حلوة, 49,
هاك, 49,TN
ك, 48,NOISE
لحاس, 48,TN
أمسط, 48,TN
حتي, 48,
اذا, 48,
نعم, 47,
شهر, 47,
أي, 47,
دولة, 47,
هدا, 47,
الحمد, 47,
ناجي, 47,NE
برجولية, 46,"MSA,TN"
العام, 46,
احمد, 46,NE
معنى, 46,
حالة, 46,
حول, 46,
علاه, 46,TN
وان, 46,
وجه, 46,
حصة, 45,
السيد, 45,
قحبة, 45,TN
راهي, 45,TN
طلع, 45,
بعض, 45,
ولكن, 45,
ضحك, 45,
الرئيس, 45,
مفيدة, 44,"NE,MSA"
البرامج, 44,
راني, 44,TN
إن, 44,
تمثل, 44,
شوف, 44,TN
معك, 44,
لن, 44,
جماعة, 44,
التربية, 43,
سعيد, 43,
الحياء, 43,
الحبس, 43,TN
بيها, 43,TN
يعطيه, 43,TN
قدام, 43,TN
نساء, 43,
عمل, 43,
وانا, 43,
حل, 43,
محمد, 43,NE
جو, 43,"MSA,TN"
مزيانة, 43,TN
عندهم, 42,
يهدي, 42,
برامج, 42,
علا, 42,TN
بلا, 42,
واش, 42,TN
عباد, 42,
محلاه, 42,
سيد, 42,
يضحك, 42,
عجبني, 42,TN
مثال, 41,
عمرك, 41,
ملي, 41,TN
سلام, 41,
ميبون, 41,TN
ﻳﺎ, 41,
نقلك, 41,TN
بلادي, 41,
شخصية, 41,
صوتها, 41,
كلامك, 41,
زين, 41,TN
هاو, 41,TN
اخرى, 41,
دين, 40,
وجهك, 40,
كارثة, 40,
تحت, 40,
حياتي, 40,
فعلا, 40,
بها, 40,
جدية, 40,
يارب, 39,
مسكينة, 39,
صاحب, 39,
مسكين, 39,
والديك, 39,
مثقف, 39,
الوقت, 39,
بو, 39,TN
عمري, 39,
الاحترام, 39,
جميل, 39,
عاد, 39,"MSA,TN"
الشباب, 39,
الطحين, 38,"MSA,TN"
مخيب, 38,"MSA,TN"
اول, 38,
مورو, 38,NE
ثقافة, 38,
كذب, 38,
ماشي, 38,TN
الارهاب, 38,
لنا, 38,
الوحيد, 38,
انه, 38,
قاعد, 38,TN
ليبيا, 38,NE
يعني, 38,
طول, 38,
محلاهم, 38,TN
ولات, 38,TN
طيارة, 38,TN
تهبل, 38,TN
نسيبتي, 38,TN
ولاد, 37,TN
اخر, 37,
منه, 37,
اولاد, 37,
الحصة, 37,
بصح, 37,ALG
الحياة, 37,
علاقة, 37,
الرجل, 37,
العظيم, 37,
الوافي, 37,"NE,MSA"
كم, 37,
دون, 36,
حيوان, 36,
حسين, 36,NE
الجنسية, 36,
حسبي, 36,
حكايات, 36,
وزير, 36,
يخدم, 36,
الحرام, 36,
ممسطك, 36,TN
الوالدين, 36,
منور, 36,
ﻣﻦ, 36,
منال, 36,"NE,MSA"
الثورة, 36,
العزيزة, 36,
حجلة, 36,NE
رجلرجل, 36,NOISE
بالنسبة, 35,
القحبة, 35,TN
برنامجك, 35,
التاريخ, 35,
التمثيل, 35,
برشاا, 35,TN
يتكلم, 35,
عل, 35,TN
